apiName,koreanName,appearsInPokemonCount,minLevel,maxLevel,implemented,hasKoreanName,implementationStatus,action,reason
spite,,5,1,21,false,false,excluded-unsafe,exclude,not implemented safely in this patch
splash,튀어오르기,4,1,1,true,true,implemented,keep,implemented in move library/adventure moves
spore,버섯포자,2,17,17,true,true,implemented,keep,implemented in move library/adventure moves
steel-wing,강철날개,1,34,34,true,true,implemented,keep,implemented in move library/adventure moves
stockpile,,5,1,28,false,false,deferred-special-effect,defer,unsupported or state-machine-heavy effect
stomp,짓밟기,12,1,29,true,true,implemented,keep,implemented in move library/adventure moves
stone-edge,스톤샤워,10,39,54,true,true,implemented,keep,implemented in move library/adventure moves
string-shot,실뿜기,4,1,1,true,true,implemented,keep,implemented in move library/adventure moves
stun-spore,저리가루,16,1,29,true,true,implemented,keep,implemented in move library/adventure moves
submission,지옥의바퀴,5,1,42,true,true,implemented,keep,implemented in move library/adventure moves
substitute,,1,29,29,false,false,deferred-special-effect,defer,unsupported or state-machine-heavy effect
sucker-punch,기습,14,19,46,true,true,implemented,keep,implemented in move library/adventure moves
sunny-day,,7,1,85,false,false,deferred-special-effect,defer,unsupported or state-machine-heavy effect
super-fang,분노의앞니,2,28,34,true,true,implemented,keep,implemented in move library/adventure moves
superpower,엄청난힘,5,43,63,true,true,implemented,keep,implemented in move library/adventure moves
supersonic,,22,1,22,false,false,deferred-special-effect,defer,unsupported or state-machine-heavy effect
swagger,,8,27,45,false,false,deferred-special-effect,defer,unsupported or state-machine-heavy effect
swallow,,4,1,28,false,false,deferred-special-effect,defer,unsupported or state-machine-heavy effect
sweet-kiss,sweet-kiss,6,1,13,true,true,implemented,keep,implemented in move library/adventure moves
sweet-scent,달콤한향기,14,1,34,true,true,implemented,keep,implemented in move library/adventure moves
swift,스피드스타,17,1,41,true,true,implemented,keep,implemented in move library/adventure moves
switcheroo,,2,1,1,false,false,deferred-special-effect,defer,unsupported or state-machine-heavy effect
swords-dance,칼춤,6,1,57,true,true,implemented,keep,implemented in move library/adventure moves
synthesis,광합성,10,1,45,true,true,implemented,keep,implemented in move library/adventure moves
tackle,몸통박치기,75,1,15,true,true,implemented,keep,implemented in move library/adventure moves
tail-whip,꼬리흔들기,42,1,10,true,true,implemented,keep,implemented in move library/adventure moves
tailwind,,7,27,64,false,false,deferred-special-effect,defer,unsupported or state-machine-heavy effect
take-down,돌진,29,10,43,true,true,implemented,keep,implemented in move library/adventure moves
taunt,,4,1,31,false,false,deferred-special-effect,defer,unsupported or state-machine-heavy effect
teleport,순간이동,5,1,9,true,true,implemented,keep,implemented in move library/adventure moves
thrash,난동부리기,16,1,58,true,true,implemented,keep,implemented in move library/adventure moves
thunder,번개,9,45,85,true,true,implemented,keep,implemented in move library/adventure moves
thunder-fang,번개엄니,11,1,50,true,true,implemented,keep,implemented in move library/adventure moves
thunder-punch,번개펀치,5,1,31,true,true,implemented,keep,implemented in move library/adventure moves
thunder-shock,전기쇼크,13,1,15,true,true,implemented,keep,implemented in move library/adventure moves
thunder-wave,전기자석파,14,1,57,true,true,implemented,keep,implemented in move library/adventure moves
thunderbolt,10만볼트,4,1,43,true,true,implemented,keep,implemented in move library/adventure moves
tickle,간지르기,4,15,48,true,true,implemented,keep,implemented in move library/adventure moves
toxic-spikes,,10,1,35,false,false,deferred-special-effect,defer,unsupported or state-machine-heavy effect
transform,,2,1,1,false,false,deferred-special-effect,defer,unsupported or state-machine-heavy effect
tri-attack,트라이어택,5,1,51,true,true,implemented,keep,implemented in move library/adventure moves
trick,,3,36,46,false,false,deferred-special-effect,defer,unsupported or state-machine-heavy effect
triple-kick,트리플킥,1,19,19,true,true,implemented,keep,implemented in move library/adventure moves
trump-card,,2,53,57,false,false,deferred-special-effect,defer,unsupported or state-machine-heavy effect
twineedle,더블니들,1,16,16,true,true,implemented,keep,implemented in move library/adventure moves
twister,회오리,10,1,29,true,true,implemented,keep,implemented in move library/adventure moves
u-turn,유턴,5,31,49,true,true,implemented,keep,implemented in move library/adventure moves
uproar,소란피기,6,1,27,true,true,implemented,keep,implemented in move library/adventure moves
vacuum-wave,진공파,2,1,26,true,true,implemented,keep,implemented in move library/adventure moves
vice-grip,찝기,3,1,5,true,true,implemented,keep,implemented in move library/adventure moves
vine-whip,덩굴채찍,7,1,19,true,true,implemented,keep,implemented in move library/adventure moves
vital-throw,받아던지기,4,25,25,true,true,implemented,keep,implemented in move library/adventure moves
wake-up-slap,잠깨움뺨치기,9,22,55,true,true,implemented,keep,implemented in move library/adventure moves
water-gun,물대포,31,1,15,true,true,implemented,keep,implemented in move library/adventure moves
water-pulse,물의파동,15,14,32,true,true,implemented,keep,implemented in move library/adventure moves
water-sport,,7,1,7,false,false,deferred-special-effect,defer,unsupported or state-machine-heavy effect
waterfall,폭포오르기,2,37,40,true,true,implemented,keep,implemented in move library/adventure moves
weather-ball,웨더볼,2,1,1,true,true,implemented,keep,implemented in move library/adventure moves
whirlpool,바다회오리,1,37,37,true,true,implemented,keep,implemented in move library/adventure moves
whirlwind,날려버리기,6,1,22,true,true,implemented,keep,implemented in move library/adventure moves
will-o-wisp,도깨비불,1,14,14,true,true,implemented,keep,implemented in move library/adventure moves
wing-attack,날개치기,14,1,55,true,true,implemented,keep,implemented in move library/adventure moves
wish,,4,28,30,false,false,deferred-special-effect,defer,unsupported or state-machine-heavy effect
withdraw,웅크리기,9,1,37,true,true,implemented,keep,implemented in move library/adventure moves
wood-hammer,우드해머,2,1,37,true,true,implemented,keep,implemented in move library/adventure moves
worry-seed,,9,25,40,false,false,deferred-special-effect,defer,unsupported or state-machine-heavy effect
wrap,김밥말이,11,1,22,true,true,implemented,keep,implemented in move library/adventure moves
wring-out,,10,36,63,false,false,deferred-special-effect,defer,unsupported or state-machine-heavy effect
x-scissor,시저크로스,6,30,55,true,true,implemented,keep,implemented in move library/adventure moves
yawn,하품,12,1,31,false,true,deferred-special-effect,defer,unsupported or state-machine-heavy effect
zap-cannon,전자포,5,54,67,true,true,implemented,keep,implemented in move library/adventure moves
zen-headbutt,사념의박치기,15,29,64,true,true,implemented,keep,implemented in move library/adventure moves
